Order_ID,Size,Color,Order,Detail_Divan,Buyer_ID,Order_Date,Finish_Date,Price
390,160,Hitam,Tipe4,Biasa,2,1/18/2021,1/25/2021,1300000
391,140,Abu-Abu,Tipe1,Laci,2,1/18/2021,1/25/2021,1500000
392,140,Abu-Abu,Tipe3,Permata,2,1/18/2021,1/25/2021,1700000
393,120,Coklat,Tipe1,Biasa,3,1/19/2021,1/26/2021,1200000
394,160,Coklat,Tipe1,Biasa,3,1/19/2021,1/26/2021,1200000
395,180,Coklat,Tipe1,Biasa,3,1/19/2021,1/26/2021,1200000
396,160,Hitam,Tipe1,Biasa,3,1/19/2021,1/26/2021,1200000
397,180,Hitam,Tipe1,Biasa,3,1/19/2021,1/26/2021,1200000
398,180,Hitam,Tipe1,Biasa,3,1/19/2021,1/26/2021,1200000
399,160,Hitam,Tipe2,Biasa,3,1/19/2021,1/26/2021,700000
400,120,Pink,Tipe2,Biasa,3,1/19/2021,1/26/2021,700000
401,140,Hitam,Tipe3,Biasa,3,1/19/2021,1/26/2021,1100000
402,160,Coklat,Tipe4,Biasa,3,1/19/2021,1/26/2021,1300000
403,160,Hitam,Tipe4,Biasa,3,1/19/2021,1/26/2021,1300000
404,160,Hitam,Tipe2,Laci,3,1/19/2021,1/26/2021,1000000
405,160,Coklat,Tipe1,Permata,3,1/19/2021,1/26/2021,180000
406,160,Hitam,Tipe2,Permata,3,1/19/2021,1/26/2021,1300000
407,120,Hitam,Tipe1,Biasa,5,1/20/2021,1/27/2021,1200000
408,140,Hitam,Tipe1,Biasa,5,1/20/2021,1/27/2021,1200000
409,140,Coklat,Tipe2,Biasa,5,1/20/2021,1/27/2021,700000
410,180,Coklat,Tipe2,Biasa,5,1/20/2021,1/27/2021,700000
411,160,Hitam,Tipe2,Biasa,5,1/20/2021,1/27/2021,700000
412,160,Hitam,Tipe2,Biasa,5,1/20/2021,1/27/2021,700000
413,160,Hitam,Tipe2,Biasa,5,1/20/2021,1/27/2021,700000
414,180,Hitam,Tipe2,Biasa,5,1/20/2021,1/27/2021,700000
415,160,Abu-Abu,Tipe3,Biasa,5,1/20/2021,1/27/2021,1100000
416,180,Abu-Abu,Tipe3,Biasa,5,1/20/2021,1/27/2021,1100000
417,160,Pink,Tipe3,Biasa,5,1/20/2021,1/27/2021,1100000
418,160,Pink,Tipe3,Biasa,5,1/20/2021,1/27/2021,1100000
419,160,Hitam,Tipe4,Biasa,5,1/20/2021,1/27/2021,1300000
420,160,Hitam,Tipe4,Biasa,5,1/20/2021,1/27/2021,1300000
421,160,Abu-Abu,Tipe1,Biasa,6,1/22/2021,1/29/2021,1200000
422,160,Coklat,Tipe1,Biasa,6,1/22/2021,1/29/2021,1200000
423,160,Hitam,Tipe1,Biasa,6,1/22/2021,1/29/2021,1200000
424,160,Merah,Tipe1,Biasa,6,1/22/2021,1/29/2021,1200000
425,180,Coklat,Tipe2,Biasa,6,1/22/2021,1/29/2021,700000
426,160,Hitam,Tipe2,Biasa,6,1/22/2021,1/29/2021,700000
427,160,Pink,Tipe2,Biasa,6,1/22/2021,1/29/2021,700000
428,160,Coklat,Tipe3,Biasa,6,1/22/2021,1/29/2021,1100000
429,160,Coklat,Tipe3,Biasa,6,1/22/2021,1/29/2021,1100000
430,160,Hitam,Tipe4,Biasa,6,1/22/2021,1/29/2021,1300000
431,140,Pink,Tipe4,Biasa,6,1/22/2021,1/29/2021,1300000
432,180,Hitam,Tipe3,Laci,6,1/22/2021,1/29/2021,1400000
433,140,Merah,Tipe4,Laci,6,1/22/2021,1/29/2021,1600000
434,160,Hitam,Tipe2,Permata,6,1/22/2021,1/29/2021,1300000
435,140,Abu-Abu,Tipe2,Biasa,1,1/24/2021,1/31/2021,700000
436,160,Abu-Abu,Tipe2,Biasa,1,1/24/2021,1/31/2021,700000
437,160,Hitam,Tipe2,Biasa,1,1/24/2021,1/31/2021,700000
438,160,Abu-Abu,Tipe3,Biasa,1,1/24/2021,1/31/2021,1100000
439,180,Coklat,Tipe3,Biasa,1,1/24/2021,1/31/2021,1100000
440,120,Hitam,Tipe3,Biasa,1,1/24/2021,1/31/2021,1100000
441,180,Hitam,Tipe3,Biasa,1,1/24/2021,1/31/2021,1100000
442,180,Hitam,Tipe3,Biasa,1,1/24/2021,1/31/2021,1100000
443,160,Hitam,Tipe4,Biasa,1,1/24/2021,1/31/2021,1300000
444,160,Hitam,Tipe4,Biasa,1,1/24/2021,1/31/2021,1300000
445,180,Pink,Tipe1,Laci,1,1/24/2021,1/31/2021,1500000
446,140,Hitam,Tipe2,Permata,1,1/24/2021,1/31/2021,1300000
447,140,Merah,Tipe3,Permata,1,1/24/2021,1/31/2021,1700000
448,160,Coklat,Tipe4,Permata,1,1/24/2021,1/31/2021,1900000
