order_id;order_date;order_detail/information;order_status;order_deadline
751;06/04/2021;Tipe2 Permata 120 Coklat;;
752;06/04/2021;Tipe1 Biasa 180 Abu-Abu;;
753;06/04/2021;Tipe1 Biasa 140 Coklat;;
754;08/04/2021;Tipe1 Biasa 160 Hitam;;
755;08/04/2021;Tipe1 Biasa 180 Hitam;;
756;08/04/2021;Tipe1 Biasa 140 Merah;;
757;08/04/2021;Tipe2 Biasa 120 Coklat;;
758;08/04/2021;Tipe4 Biasa 120 Coklat;;
759;08/04/2021;Tipe1 Biasa 160 Abu-Abu;;
760;08/04/2021;Tipe1 Biasa 180 Hitam;;
761;08/04/2021;Tipe2 Biasa 160 Abu-Abu;;
762;08/04/2021;Tipe2 Biasa 140 Hitam;;
763;08/04/2021;Tipe2 Biasa 160 Hitam;;
764;08/04/2021;Tipe2 Biasa 160 Merah;;
765;08/04/2021;Tipe3 Biasa 180 Coklat;;
766;08/04/2021;Tipe3 Biasa 120 Hitam;;
767;08/04/2021;Tipe3 Biasa 160 Merah;;
768;08/04/2021;Tipe4 Biasa 160 Abu-Abu;;
769;08/04/2021;Tipe4 Biasa 140 Coklat;;
770;08/04/2021;Tipe3 Laci 160 Pink;;
771;08/04/2021;Tipe1 Biasa 120 Coklat;;
772;08/04/2021;Tipe1 Biasa 160 Coklat;;
773;11/04/2021;Tipe1 Biasa 140 Hitam;;
774;11/04/2021;Tipe2 Biasa 160 Coklat;;
